1995,1.0
1996,548.2142857142857
1997,206.525
1998,125.37586206896552
1999,122.6082191780822
2000,82.32624113475177
2001,74.2491730981257
2002,68.73684210526316
2003,67.14227309893704
2004,68.34878419452887
2005,71.1759324419423
2006,68.64654635967642
2007,70.70416666666667
2008,73.26811180832858
2009,69.20524457892083
2010,69.17329545454545
2011,69.62595763857594
2012,69.45699614890886
2013,68.9109756097561
2014,70.20143597925808
2015,73.46293436293436
2016,72.18743381574303
2017,72.49234354194408
2018,74.33549013264316
2019,76.20545339251744
