1995,76.20545339251744
1996,83.39930335655478
1997,86.5709309689677
1998,87.50917141049969
1999,90.15686274509804
2000,94.32785330382548
2001,97.2687322162504
2002,99.51248814416692
2003,101.9332911792602
2004,104.27916534935189
2005,107.78975656022763
2006,110.64717040784066
2007,113.29402466013279
2008,116.30983243755928
2009,118.7132469174834
2010,121.51438507745812
2011,124.17167246285172
2012,126.60543787543472
2013,128.32247865950046
2014,130.36642428074612
2015,134.82200442617767
2016,139.3060385709769
2017,143.4773948782801
2018,145.99936768890294
2019,149.3354410369902
